TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,G,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20130101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.8545566666666667,0.0,0.5062856250000002,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,253.45420833333324,-9999,-9999,-9999,-9999,0.3035,-9999,93.66010416666666,-13.224729166666668,0.981,-9999,3.110979166666666,0.5175717315315028,0.01812345499237698,9.463064213738168,3.0
20130102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.6809910416666668,0.0,0.321273125,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,241.3145625,-9999,-9999,-9999,-9999,0.378375,-9999,92.97120833333334,-17.569229166666666,1.3260000000000003,-9999,2.561791666666666,0.4209980298143909,-0.007203671675313292,9.35293339713176,3.0
20130103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.8121460416666668,0.0,0.4563814583333334,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,232.38316666666665,-9999,-9999,-9999,-9999,0.3387083333333333,-9999,93.6520625,-14.318937500000002,0.03,-9999,3.1989375,0.4747569786536796,0.0033122945913634703,8.480846704383536,3.0
20130104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.7610437500000001,0.0,0.4002031250000001,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,228.369375,-9999,-9999,-9999,-9999,0.4670416666666666,-9999,94.02950000000004,-15.60879166666667,0.0,-9999,2.9486458333333343,0.4349057996934202,-0.00585154141084086,8.05053913501952,3.0
20130105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.66304375,0.0,0.3087383333333334,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,218.49193750000003,-9999,-9999,-9999,-9999,0.3547708333333335,-9999,93.9125833333333,-17.998562499999995,0.042,-9999,2.619,0.4338056827256887,-0.016463747832672956,7.870359614155311,3.0
20130106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.5034491666666668,0.0,0.17406479166666666,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,209.02241666666663,-9999,-9999,-9999,-9999,0.3280416666666666,-9999,93.51656250000002,-21.84789583333333,0.16200000000000006,-9999,3.6226875,0.4522472884043341,-0.022676751160573036,6.142579703305256,3.0
20130107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.3577158333333333,0.0,0.08859414583333336,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,196.436875,-9999,-9999,-9999,-9999,0.31225,-9999,93.41493749999997,-25.35864583333334,0.06599999999999999,-9999,3.227875,0.5256216087553639,-0.033980894533820354,5.66042117623946,3.0
20130108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.2916983333333333,0.0,0.058232604166666674,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,192.0777291666665,-9999,-9999,-9999,-9999,0.26743750000000005,-9999,94.19529166666666,-26.9994375,0.0,-9999,2.303125,0.5511120814998692,-0.043689411131274836,6.570471668858231,3.0
20130109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.2805579166666666,0.0,0.054361270833333336,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,192.40125000000003,-9999,-9999,-9999,-9999,0.29566666666666663,-9999,94.75906249999998,-27.29414583333333,0.0,-9999,2.5659791666666663,0.5454486804304339,-0.043863840387471285,6.350573464210262,3.0
20130110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.4400487499999999,0.0,0.14189333333333334,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,210.4416666666667,-9999,-9999,-9999,-9999,0.3145208333333333,-9999,94.3700833333333,-23.40866666666666,0.3360000000000001,-9999,2.677916666666667,0.4764264074909172,-0.035952101978745224,6.185092521974794,3.0
