TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,G,SWC_1,SWC_2,SWC_3,SWC_4,SWC_5,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20160101,0.3710511627906976,-7.149504761904763,2.2560465116279063,-9999,0.7242083333333333,2.2225916666666667,0.34504583333333344,246.20335416666663,282.5202083333333,-27.186229166666664,4.780358333333332,0.12161875,-9999,-9999,101.69825,-9999,0.025,0.1956510416666666,1.6458520833333337,2.0699583333333345,3.0150833333333327,3.521510416666668,-9.336579069767444,24.758986111111113,27.66939024390244,36.464348780487796,38.56402558139534,47.32700000000001,-0.01047464791666667,0.3648940312499999,0.045212948958333325,2.2401000000000004,145.25255319148937,3.1200638297872345,0.3753679166666665,-7.785164583333334,2.122587916666666,-9999,2.8023125,0.34504583333333344,246.20335416666663,282.5202083333333,-27.186172916666674,4.780358333333332,0.12161875,0.5323333333333334,-9999,101.69825,-6.675854166666663,0.05,-9.44795625,4.521729166666666,2.874208138771296,0.3749482929916094,-0.016922243564302202,3.0
20160102,-9999,-9999,-9999,-9999,0.349,10.35245,5.780035416666671,196.214375,258.9735416666667,-27.178918749999994,15.587487500000002,2.22531875,-9999,-9999,102.34829166666668,-9999,0.0,-0.7217177083333336,1.2686958333333334,1.7904583333333333,2.835541666666668,3.3696354166666667,-12.156771111111107,19.162390624999997,25.40218947368421,34.98158536585366,38.89305789473684,46.36745454545455,-0.008151306250000009,0.26838251875,0.1137231625,1.824164583333333,119.19,2.252,0.2765333333333333,-18.599309791666673,8.726941458333334,-9999,10.4584375,5.780047916666671,196.214375,258.9735416666667,-27.17894375,15.58741666666667,2.22531875,0.2971458333333334,-9999,102.34829166666668,-11.204729166666667,0.0,-12.10793125,2.7624375000000003,8.26683126102891,0.33384902691027424,-0.1866509774777648,3.0
20160103,-9999,-9999,-9999,-9999,-9999,1.9780125,-0.1873395833333336,252.80285416666663,269.2908333333334,-4.396233333333335,4.387499999999998,0.3344270833333333,-9999,-9999,100.555425,-9999,2.0,-0.7429135416666667,0.9489593750000004,1.4854374999999995,2.597875,3.198567708333334,-10.636522916666662,15.876313953488374,23.429366666666667,36.0572,37.91055116279068,46.63835294117647,-0.04858410416666668,0.3206649708333333,0.03779530812499999,2.2810208333333333,-9999,-9999,0.36924979166666655,-19.142533333333336,4.808080208333332,-9999,2.372770833333333,-0.1873395833333336,252.80285416666663,269.2908333333334,-4.396227083333335,4.387499999999998,0.3344270833333333,0.4465208333333333,-9999,100.5554583333333,-9.577,3.0500000000000003,-10.636522916666662,2.7745625000000005,7.978750796457184,0.3469251122762706,-0.21730332593275906,3.0
20160104,-9999,-9999,-9999,-9999,-9999,7.76438125,3.263204166666668,204.07135416666677,245.71208333333337,-7.440387500000001,16.542702083333335,3.0115562500000004,-9999,-9999,99.54206874999996,-9999,1.208349999999999,-1.2180947916666665,0.7062760416666666,1.2427499999999998,2.348520833333333,2.9434114583333333,-9.387183333333336,14.01838157894737,23.106439534883734,33.68074186046511,37.705290000000005,46.31835483870968,0.5928125416666666,0.2366956791666667,0.08605606208333333,1.9576645833333333,-9999,-9999,-0.3561175000000001,6.475933333333335,5.699408333333337,-9999,8.027666666666667,3.2631979166666683,204.07135416666677,245.71208333333337,-7.4403875,16.542854166666668,3.0115312499999995,0.3854166666666666,-9999,99.54202083333332,-12.652812500000005,2.049999999999999,-9.387183333333336,3.7032500000000006,7.730708533910401,0.32239160617882323,-0.6101710416774487,3.0
20160105,-9999,-9999,-9999,-9999,-9999,7.149525,4.642587500000002,173.65010416666664,230.47645833333328,-6.424020833333332,14.57443541666666,4.218833333333333,-9999,-9999,98.93741666666668,-9999,0.41665,-2.141025,0.1706770833333333,0.891083333333333,2.0140208333333334,2.60328125,-12.165612500000007,10.349079545454547,19.46722045454545,33.65659318181818,36.20309772727273,42.930914285714266,0.09340764583333327,0.1506661333333334,0.07783318541666667,1.5055291666666666,-9999,-9999,0.05726031250000008,5.538772916666665,0.3745520833333332,-9999,7.421729166666665,4.642581250000001,173.65010416666664,230.47645833333328,-6.423995833333333,14.57452708333333,4.218839583333333,0.3210000000000001,-9999,98.93741666666668,-16.363083333333336,0.7500000000000001,-12.165612500000007,3.5557291666666657,6.6874670903715865,0.2887399063671519,-0.99583403449032,3.0
20160106,0.5325333333333334,1.0675111111111115,1.983855555555556,-9999,0.2278846153846154,8.839962499999997,4.333447916666667,154.50897916666662,212.971875,-7.658589583333334,16.539025,4.668797916666667,-9999,-9999,99.34664791666668,-9999,0.0,-3.77630625,-0.9906239583333329,0.0700208333333333,1.2493541666666663,1.8098437500000004,-18.85859090909091,7.762613636363636,19.218927272727264,32.905004545454545,35.637063636363635,39.702375,-0.6228125624999998,0.05904490000000001,0.08262032112499999,0.7599358333333334,171.88023333333328,1.8473666666666664,0.6818583333333335,-15.27631458333333,1.819505,-9999,8.890437499999997,4.333441666666666,154.50897916666662,212.971875,-7.658545833333332,16.539104166666668,4.668797916666668,0.2630416666666667,-9999,99.34666666666668,-22.200437500000003,0.0,-18.830354166666673,2.778083333333333,4.44297220208681,0.3000059202985421,-1.1831487922386308,3.0
20160107,0.1937777777777778,-21.247076923076925,5.323370370370369,-9999,0.751333333333333,8.980493749999997,4.724643750000001,154.15249999999997,210.144375,-5.946397916666666,16.53341875,4.448887500000001,-9999,-9999,99.31999375,-9999,0.0,-4.9422854166666665,-1.9306229166666664,-0.6230208333333332,0.7110833333333333,1.2838802083333334,-20.510136363636363,5.8550795454545455,17.528069767441856,31.70984545454544,34.34284090909091,-9999,-0.3737798125,0.036662954166666664,0.090145509375,0.4919487500000001,191.88666666666677,3.9274074074074066,0.41044083333333337,-21.93786875,4.522137499999999,-9999,9.113416666666668,4.7246250000000005,154.15249999999997,210.144375,-5.946366666666667,16.53341875,4.4488625000000015,0.2622083333333333,-9999,99.32,-24.135479166666656,0.0,-20.419666666666668,2.832875,5.247231845300446,0.2139875781713952,-1.3925307085535965,3.0
20160108,-9999,-9999,-9999,-9999,-9999,7.382166666666666,2.715802083333333,187.75085416666667,227.65770833333332,-12.740295833333333,18.117860416666673,3.146252083333335,-9999,-9999,99.00075208333332,-9999,0.215,-3.8091125,-1.29398125,-0.13887500000000005,1.2474583333333336,1.910546875,-16.862979166666673,23.688372093023247,16.01501111111111,30.26229111111111,34.28181777777779,-9999,-0.2286301458333333,0.08164411875000001,0.09832850041666663,0.7796297916666665,-9999,-9999,0.3102713541666668,-9.87540122916667,3.703080879166668,-9999,7.897958333333332,2.7158208333333334,187.75085416666667,227.65770833333332,-12.740345833333334,18.117812500000007,3.146245833333334,0.2884791666666667,-9999,99.00079166666664,-19.6878125,0.23000000000000004,-16.862979166666673,3.1691458333333333,6.1466053333980994,0.2584557888687222,-1.2133848482553171,3.0
20160109,-9999,-9999,-9999,-9999,-9999,7.572310416666667,3.588068750000001,186.82341666666665,240.383125,-10.647185416666668,22.016847916666674,4.585506250000001,-9999,-9999,99.1767875,-9999,0.0,-3.098125,-1.0334927083333334,-0.05285416666666668,1.2779374999999995,1.9715104166666664,-15.272458333333333,20.011099999999995,13.574443181818184,28.935597727272725,33.32031818181818,-9999,-0.04985710416666664,0.11348544791666665,0.11459044166666665,0.8259364583333334,-9999,-9999,0.16334295833333326,-1.441864375,1.4605179166666675,-9999,7.645354166666666,3.5880625000000013,186.82341666666665,240.383125,-10.647191666666666,22.016791666666666,4.585506250000002,0.2747916666666667,-9999,99.17679166666667,-16.152229166666668,0.0,-15.272458333333333,2.653375,7.377480548566977,0.28360327376284084,-0.6804425799585232,3.0
20160110,-9999,-9999,-9999,-9999,-9999,7.763785416666662,4.952379166666668,192.20239583333333,234.015,-9.231718750000004,18.506145833333328,4.945145833333334,-9999,-9999,99.43950625,-9999,0.005,-3.562370833333333,-1.4025520833333334,-0.28622916666666665,1.087,1.77234375,-16.259020833333334,3.3899487179487178,12.02078409090909,27.69539318181819,32.696600000000004,-9999,-0.5486577083333334,0.05612602916666667,0.13905608979166664,0.2591297916666666,-9999,-9999,0.6047843750000002,-9.993388750000003,0.08740812499999999,-9999,7.876749999999998,4.952379166666666,192.20239583333333,234.015,-9.231725000000004,18.506041666666654,4.945139583333334,0.2648958333333334,-9999,99.43952083333332,-20.578375,0.01,-16.259020833333334,2.5310625,6.095403625367342,0.2489025137488599,-1.0581071262469457,3.0
