TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,VPD,RH,TA,P,TS_1,G,SWC_1,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20080101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.3974941706382977,0.0,0.2165231276595745,-9999,-9999,-9999,-9999,-9999,0.0,214.49229787234043,-9999,-9999,0.0,-9999,101.34910638297873,-15.730787234042554,0.36600000000000016,-9999,4.449042553191491,-9.281259525076687,1.1605703130877545,18.41215981304549,3.0
20080102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.3875275333333334,0.0,0.25569722916666665,-9999,-9999,-9999,-9999,-9999,0.0,228.00435416666656,-9999,-9999,0.0,-9999,102.19314583333336,-17.029062500000002,2.649,-9999,5.288791666666667,-29.89819898101334,1.1471187647329282,21.596337407717076,3.0
20080103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.9812768385416668,0.0002557083333333333,0.8602802083333333,-9999,-9999,-9999,-9999,-9999,0.045500000000000006,299.67114583333324,-9999,-9999,0.0,-9999,101.31602083333333,-3.4602083333333344,1.8309999999999989,-9999,6.5602291666666686,5.926788880097728,1.1788107416012417,16.952720219888608,3.0
20080104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,1.1168933579166669,5.749125000000001e-05,1.0544618749999994,-9999,-9999,-9999,-9999,-9999,0.010208333333333331,310.6154791666665,-9999,-9999,0.0,-9999,100.91691666666668,-0.8931875000000001,6.152000000000001,-9999,8.676625000000001,15.109927761551766,1.0905095299763743,21.897820890717888,3.0
20080105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.9901621789583334,0.0005117083333333333,0.8726152083333331,-9999,-9999,-9999,-9999,-9999,0.0910625,287.56739583333336,-9999,-9999,0.0,-9999,101.08418750000004,-3.2911250000000014,1.4629999999999996,-9999,6.6115208333333335,12.972697961445732,1.1606441299348214,17.57214168059477,3.0
20080106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.7549042072916666,0.0017513125,0.5895683333333331,-9999,-9999,-9999,-9999,-9999,0.3129791666666666,238.90179166666667,-9999,-9999,0.0,-9999,101.30833333333337,-7.987291666666668,0.5470000000000002,-9999,5.859895833333334,2.247589989318128,1.1141670642881163,15.941599376351173,3.0
20080107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.2948585358333333,0.001892748541666667,0.13552433333333333,-9999,-9999,-9999,-9999,-9999,0.3382083333333333,196.17279166666654,-9999,-9999,0.0,-9999,100.9340625,-18.329770833333328,0.12199999999999996,-9999,4.324229166666666,-23.108767509352283,1.1237115227111003,17.843298272254977,3.0
20080108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.09470997666666664,0.0034183958333333336,0.022898229166666676,-9999,-9999,-9999,-9999,-9999,0.6128958333333333,174.03129166666668,-9999,-9999,0.0,-9999,100.74275,-25.1466875,0.067,-9999,3.0714375,-62.154896609077156,1.1195763967386392,23.89803234860397,3.0
20080109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.16828066083333335,0.0020223125,0.05480531249999999,-9999,-9999,-9999,-9999,-9999,0.3609375000000001,208.1356666666666,-9999,-9999,0.0,-9999,100.46268750000002,-22.09387500000001,0.07499999999999997,-9999,2.6974375,-43.076117872476864,1.1305122538020174,23.70550897121768,3.0
20080110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,0.24836153500000005,0.0003342083333333333,0.10093672916666667,-9999,-9999,-9999,-9999,-9999,0.059375,240.81918750000008,-9999,-9999,0.0,-9999,100.59389583333336,-19.5408125,0.7460000000000006,-9999,2.467875,-23.084848161120945,1.1179579565454592,24.047614472908283,3.0
